Image Filename,Generated Caption
Age_A_child_learning_to_ride_a_bicycle_in_the_park__img6.png,there is a young child riding a bike on a path
Age_A_child_learning_to_ride_a_bicycle_in_the_park__img7.png,arafed boy riding a bike in a park with a helmet on
Age_A_child_playing_in_the_snow_with_friends__img1.png,there are two children playing in the snow with a frisbee
Age_A_child_playing_in_the_snow_with_friends__img2.png,there are three children playing in the snow with their hands up
Age_A_child_playing_in_the_snow_with_friends__img3.png,three children are playing in the snow in a park
Age_A_child_playing_in_the_snow_with_friends__img4.png,there is a small child that is playing in the snow
Age_A_child_playing_in_the_snow_with_friends__img5.png,there is a small child sitting in the snow with her arms outstretched
Age_A_child_playing_in_the_snow_with_friends__img6.png,several children are playing in the snow with their hands in the air
Age_A_child_playing_in_the_snow_with_friends__img7.png,several children are playing in the snow with a frisbee
Age_A_child_playing_with_a_ball_in_a_park__img1.png,there is a young boy sitting on the ground with a red ball
Age_A_child_playing_with_a_ball_in_a_park__img2.png,arafed boy in grey shirt playing with a white ball in a park
Age_A_child_playing_with_a_ball_in_a_park__img3.png,there is a baby playing with a soccer ball in the grass
Age_A_child_playing_with_a_ball_in_a_park__img4.png,there is a young boy running with a red ball in a park
Age_A_child_playing_with_a_ball_in_a_park__img5.png,there is a young boy holding a red ball in a park
Age_A_child_playing_with_a_ball_in_a_park__img6.png,there is a young boy kicking a soccer ball in the grass
Age_A_child_playing_with_a_ball_in_a_park__img7.png,there is a young boy playing with a green ball in the grass
Age_A_child_playing_with_toys_in_a_playroom__img1.png,there are two children playing with toys in a play room
Age_A_child_playing_with_toys_in_a_playroom__img2.png,there is a young girl sitting on the floor playing with toys
Age_A_child_playing_with_toys_in_a_playroom__img3.png,there is a young child playing with a toy train on the floor
Age_A_child_playing_with_toys_in_a_playroom__img4.png,there is a young child playing with blocks in a play room
Age_A_child_playing_with_toys_in_a_playroom__img5.png,there is a young boy playing with a toy in a room
Age_A_child_playing_with_toys_in_a_playroom__img6.png,there is a small child playing with a toy truck on the floor
Age_A_child_playing_with_toys_in_a_playroom__img7.png,there is a young child playing with a toy on the floor
Age_A_child_running_through_a_sprinkler_on_a_hot_day__img1.png,there is a young boy running through a sprinkle of water
Age_A_child_running_through_a_sprinkler_on_a_hot_day__img2.png,araffe girl running through a sprinkle of water in a park
Age_A_child_running_through_a_sprinkler_on_a_hot_day__img3.png,araffe girl running through sprinkles of water in a yard
Age_A_child_running_through_a_sprinkler_on_a_hot_day__img4.png,araffe kid running through sprinkler in grassy area with trees in background
Age_A_child_running_through_a_sprinkler_on_a_hot_day__img5.png,there is a little girl running through a sprinkle of water
Age_A_child_running_through_a_sprinkler_on_a_hot_day__img6.png,there is a little boy running in the grass with a sprinkler
Age_A_child_running_through_a_sprinkler_on_a_hot_day__img7.png,araffe running through a sprinkle of water in a park
Age_A_family_having_a_picnic_in_a_park_on_a_sunny_day__img1.png,araffe family having a picnic in the park with a picnic basket
Age_A_family_having_a_picnic_in_a_park_on_a_sunny_day__img2.png,araffe family having a picnic in the park
Age_A_family_having_a_picnic_in_a_park_on_a_sunny_day__img3.png,araffe family having a picnic in the park with a picnic basket
Age_A_family_having_a_picnic_in_a_park_on_a_sunny_day__img4.png,araffe family having a picnic in the park with a picnic basket
Age_A_family_having_a_picnic_in_a_park_on_a_sunny_day__img5.png,araffe family sitting on the grass in a park with a picnic basket
Age_A_family_having_a_picnic_in_a_park_on_a_sunny_day__img6.png,araffe family having a picnic in the park with a picnic basket
Age_A_family_having_a_picnic_in_a_park_on_a_sunny_day__img7.png,araffe family having a picnic in the park with a basket of apples
Age_A_family_taking_a_stroll_along_a_lake__img1.png,there are a group of people walking in the water together
Age_A_family_taking_a_stroll_along_a_lake__img2.png,there are two people walking along the water with a child
Age_A_family_taking_a_stroll_along_a_lake__img3.png,there are two people and a child walking in the water
Age_A_family_taking_a_stroll_along_a_lake__img4.png,there are three people walking along the shore of a lake
Age_A_family_taking_a_stroll_along_a_lake__img5.png,there are two people and a child walking in the water
Age_A_family_taking_a_stroll_along_a_lake__img6.png,araffe family walking through a river with their dog
Age_A_family_taking_a_stroll_along_a_lake__img7.png,arafed family walking along a path by a lake
Age_A_middle_aged_person_cooking_in_a_spacious_kitchen_img1.png,chef in white shirt and white apron stirring food on stove
Age_A_middle_aged_person_cooking_in_a_spacious_kitchen_img2.png,there is a man standing in a kitchen preparing food on the stove
Age_A_middle_aged_person_cooking_in_a_spacious_kitchen_img3.png,woman in a kitchen cutting vegetables on a cutting board
Age_A_middle_aged_person_cooking_in_a_spacious_kitchen_img4.png,woman in blue shirt cooking in kitchen with vegetables and a bowl
Age_A_middle_aged_person_cooking_in_a_spacious_kitchen_img5.png,woman cooking vegetables in a large pan on a stove top
Age_A_middle_aged_person_cooking_in_a_spacious_kitchen_img6.png,chef preparing food in a kitchen with a stove and stove top
Age_A_middle_aged_person_cooking_in_a_spacious_kitchen_img7.png,woman preparing food in a kitchen with a large pan on a counter
Age_A_middle_aged_person_doing_home_repairs__img1.png,arafed man in blue shirt and orange hard hat fixing a kitchen sink
Age_A_middle_aged_person_doing_home_repairs__img2.png,a man in blue overalls and gloves is painting a wall
Age_A_middle_aged_person_doing_home_repairs__img3.png,arafed man in a hard hat plastering a wall with a hammer
Age_A_middle_aged_person_doing_home_repairs__img4.png,a man in blue overalls and yellow gloves is fixing a wall
Age_A_middle_aged_person_doing_home_repairs__img5.png,arafed man in a hard hat is using a tool to fix a wall
Age_A_middle_aged_person_doing_home_repairs__img6.png,arafed man using a nail gun to remove a wall
Age_A_middle_aged_person_doing_home_repairs__img7.png,arafed man in blue shirt and white gloves painting a wall
Age_A_middle_aged_person_reading_a_book_by_a_fireplace_img1.png,fireplace with a fire in it in a living room with a chair and a table
Age_A_middle_aged_person_reading_a_book_by_a_fireplace_img2.png,woman reading a book in front of a fireplace with fire
Age_A_middle_aged_person_reading_a_book_by_a_fireplace_img3.png,arafed man sitting on a couch reading a book in front of a fireplace
Age_A_middle_aged_person_reading_a_book_by_a_fireplace_img4.png,there is a man reading a book in front of a fireplace
Age_A_middle_aged_person_reading_a_book_by_a_fireplace_img5.png,there is a man sitting in a chair reading a book
Age_A_middle_aged_person_reading_a_book_by_a_fireplace_img6.png,arafed man reading a book in front of a fireplace
Age_A_middle_aged_person_reading_a_book_by_a_fireplace_img7.png,arafed man sitting in a chair reading a book in front of a fireplace
Age_A_middle_aged_person_shopping_for_groceries__img1.png,arafed man in a grocery store with a shopping cart
Age_A_middle_aged_person_shopping_for_groceries__img2.png,arafed man in a grocery store with a shopping basket
Age_A_middle_aged_person_shopping_for_groceries__img3.png,arafed man in a grocery store looking at a tablet
Age_A_middle_aged_person_shopping_for_groceries__img4.png,arafed man in a grocery store selecting fruit and vegetables
Age_A_middle_aged_person_shopping_for_groceries__img5.png,arafed man in a grocery store with a basket of fruit
Age_A_middle_aged_person_shopping_for_groceries__img6.png,arafed man in a grocery store with a shopping cart
Age_A_middle_aged_person_shopping_for_groceries__img7.png,woman shopping in a grocery store with a shopping cart
Age_A_middle_aged_person_volunteering_at_a_local_shelt_img1.png,smiling man in grey shirt holding a book in a hallway
Age_A_middle_aged_person_volunteering_at_a_local_shelt_img2.png,woman in a blue shirt is opening a box with a tag
Age_A_middle_aged_person_volunteering_at_a_local_shelt_img3.png,woman in red shirt and gloves holding a blue container
Age_A_middle_aged_person_volunteering_at_a_local_shelt_img4.png,woman in red jacket walking down a hallway with tables of food
Age_A_middle_aged_person_volunteering_at_a_local_shelt_img5.png,woman in red shirt and purple gloves standing in a room with tables
Age_A_middle_aged_person_volunteering_at_a_local_shelt_img6.png,woman in a mask and gloves is looking at a cage with a dog
Age_A_middle_aged_person_volunteering_at_a_local_shelt_img7.png,woman sitting at a table with a pile of folded up clothes
Age_A_middle_aged_person_working_from_home__img1.png,there is a man sitting at a table with a laptop computer
Age_A_middle_aged_person_working_from_home__img2.png,there is a man sitting at a desk using a laptop computer
Age_A_middle_aged_person_working_from_home__img3.png,there is a man sitting at a table with a laptop
Age_A_middle_aged_person_working_from_home__img4.png,there is a man sitting at a desk with a laptop computer
Age_A_middle_aged_person_working_from_home__img5.png,there is a man sitting at a desk with a laptop and papers
Age_A_middle_aged_person_working_from_home__img6.png,there is a man sitting at a desk with a laptop computer
Age_A_middle_aged_person_working_from_home__img7.png,there is a man sitting at a table with a laptop and a pen
Age_A_senior_citizen_attending_a_community_event__img1.png,several elderly people sitting in a row and one is holding a book
Age_A_senior_citizen_attending_a_community_event__img2.png,older man in blue shirt and jeans standing in front of a crowd of people
Age_A_senior_citizen_attending_a_community_event__img3.png,elderly woman in pink sweater holding a cake in a park
Age_A_senior_citizen_attending_a_community_event__img4.png,elderly woman with glasses and a blue shirt standing in front of a crowd
Age_A_senior_citizen_attending_a_community_event__img5.png,older man walking down a path with a backpack and a backpack
Age_A_senior_citizen_attending_a_community_event__img6.png,elderly woman in a wheelchair sitting in a park with other people
Age_A_senior_citizen_attending_a_community_event__img7.png,elderly man in a wheelchair talking to a group of people
Age_A_senior_citizen_gardening_in_a_backyard__img1.png,an older woman is kneeling in the garden with her gardening tools
Age_A_senior_citizen_gardening_in_a_backyard__img2.png,elderly man in blue shirt and yellow gloves planting a flower
Age_A_senior_citizen_gardening_in_a_backyard__img3.png,an older man is digging in the garden with a green watering can
Age_A_senior_citizen_gardening_in_a_backyard__img4.png,elderly woman digging in garden with garden hose and mulch
Age_A_senior_citizen_gardening_in_a_backyard__img5.png,arafed woman in pink shirt and gardening gloves digging in garden
Age_A_senior_citizen_gardening_in_a_backyard__img6.png,a woman is kneeling down and planting a tree in the garden
Age_A_senior_citizen_gardening_in_a_backyard__img7.png,elderly woman digging in garden with shovel and dirt
Age_A_senior_citizen_sitting_at_a_caf__with_a_friend__img1.png,two older women sitting at a table with a cup of coffee
Age_A_senior_citizen_sitting_at_a_caf__with_a_friend__img2.png,two women sitting at a table with a cup of coffee
Age_A_senior_citizen_sitting_at_a_caf__with_a_friend__img3.png,two women sitting at a table with coffee cups and a cup of coffee
Age_A_senior_citizen_sitting_at_a_caf__with_a_friend__img4.png,older couple sitting at a table with coffee cups and a cell phone
Age_A_senior_citizen_sitting_at_a_caf__with_a_friend__img5.png,older couple sitting at table with coffee cup and smiling
Age_A_senior_citizen_sitting_at_a_caf__with_a_friend__img6.png,older couple sitting at a table with coffee cups and smiling
Age_A_senior_citizen_sitting_at_a_caf__with_a_friend__img7.png,older women sitting at a table with cups of coffee
Age_A_senior_person_enjoying_a_cup_of_tea_in_a_garden__img1.png,smiling elderly woman sitting on a bench holding a cup of coffee
Age_A_senior_person_enjoying_a_cup_of_tea_in_a_garden__img2.png,smiling elderly woman holding a cup of coffee in her hands
Age_A_senior_person_enjoying_a_cup_of_tea_in_a_garden__img3.png,elderly woman sitting in a chair holding a cup of coffee
Age_A_senior_person_enjoying_a_cup_of_tea_in_a_garden__img4.png,elderly woman sitting at a table with a cup of coffee
Age_A_senior_person_enjoying_a_cup_of_tea_in_a_garden__img5.png,smiling elderly woman holding a cup of coffee in her hands
Age_A_senior_person_enjoying_a_cup_of_tea_in_a_garden__img6.png,smiling elderly woman holding a cup of coffee in a garden
Age_A_senior_person_enjoying_a_cup_of_tea_in_a_garden__img7.png,smiling elderly woman sitting in a chair with a cup of coffee
Age_A_senior_person_on_a_walk_with_a_caregiver__img1.png,two older women walking down a path in a park
Age_A_senior_person_on_a_walk_with_a_caregiver__img2.png,older couple walking down a path holding hands
Age_A_senior_person_on_a_walk_with_a_caregiver__img3.png,older couple walking down a path holding hands and carrying a red bag
Age_A_senior_person_on_a_walk_with_a_caregiver__img4.png,two women walking in a park holding hands
Age_A_senior_person_on_a_walk_with_a_caregiver__img5.png,a woman walking with a caregiver on a walk way
Age_A_senior_person_on_a_walk_with_a_caregiver__img6.png,two elderly women walking down a path holding hands
Age_A_senior_person_on_a_walk_with_a_caregiver__img7.png,two older women walking down a dirt road with canes
Age_A_senior_person_taking_a_walk_in_the_neighborhood__img1.png,elderly woman walking with her dog in a park
Age_A_senior_person_taking_a_walk_in_the_neighborhood__img2.png,smiling elderly woman walking down a path with a cane
Age_A_senior_person_taking_a_walk_in_the_neighborhood__img3.png,elderly man walking down a sidewalk with a cane and walking stick
Age_A_senior_person_taking_a_walk_in_the_neighborhood__img4.png,elderly woman walking down a path in a park with a tennis racket
Age_A_senior_person_taking_a_walk_in_the_neighborhood__img5.png,elderly man walking down a street with a cane and walking stick
Age_A_senior_person_taking_a_walk_in_the_neighborhood__img6.png,elderly woman walking down a path with a cane and walking stick
Age_A_senior_person_taking_a_walk_in_the_neighborhood__img7.png,older woman walking down a sidewalk in a park with a pink shirt
Age_A_teenager_attending_a_concert_with_friends__img1.png,there are four young girls smiling and posing for a picture
Age_A_teenager_attending_a_concert_with_friends__img2.png,four women are standing together and laughing in a group
Age_A_teenager_attending_a_concert_with_friends__img3.png,several young people are taking a picture together with their cell phones
Age_A_teenager_attending_a_concert_with_friends__img4.png,there are four girls posing for a picture together at a party
Age_A_teenager_attending_a_concert_with_friends__img5.png,three girls are standing next to each other and smiling
Age_A_teenager_attending_a_concert_with_friends__img6.png,araffes of young people standing together in a park
Age_A_teenager_attending_a_concert_with_friends__img7.png,there are three young people standing together at a concert
Age_A_teenager_at_a_sports_event_cheering_with_friends_img1.png,arafed young girl singing in a crowd of people wearing blue shirts
Age_A_teenager_at_a_sports_event_cheering_with_friends_img2.png,several young people are cheering and smiling in a crowd
Age_A_teenager_at_a_sports_event_cheering_with_friends_img3.png,several young girls are smiling and holding oranges in their hands
Age_A_teenager_at_a_sports_event_cheering_with_friends_img4.png,several people are smiling and posing for a picture at a baseball game
Age_A_teenager_at_a_sports_event_cheering_with_friends_img5.png,there are many people that are cheering and having fun
Age_A_teenager_at_a_sports_event_cheering_with_friends_img6.png,araffes of young people sitting in a stadium with one holding a cell phone
Age_A_teenager_at_a_sports_event_cheering_with_friends_img7.png,several young people are cheering and laughing in a stadium
Age_A_teenager_in_a_school_classroom_raising_their_han_img1.png,there are many children sitting at desks in a classroom raising their hands
Age_A_teenager_in_a_school_classroom_raising_their_han_img2.png,there are many children sitting in a classroom with their hands up
Age_A_teenager_in_a_school_classroom_raising_their_han_img3.png,there are many children sitting at desks in a classroom raising their hands
Age_A_teenager_in_a_school_classroom_raising_their_han_img4.png,there are many children sitting at desks in a classroom
Age_A_teenager_in_a_school_classroom_raising_their_han_img5.png,there are many children sitting at desks in a classroom raising their hands
Age_A_teenager_in_a_school_classroom_raising_their_han_img6.png,there are two girls standing in a classroom with their hands up
Age_A_teenager_in_a_school_classroom_raising_their_han_img7.png,there are two children sitting at a desk with their hands up
Age_A_teenager_performing_a_science_experiment_in_a_la_img1.png,arafed woman in lab coat and goggles holding a beaker
Age_A_teenager_performing_a_science_experiment_in_a_la_img2.png,woman in a lab looking at a beaker filled with liquid
Age_A_teenager_performing_a_science_experiment_in_a_la_img3.png,arafed boy in green jacket and goggles looking at a beaker filled with liquid
Age_A_teenager_performing_a_science_experiment_in_a_la_img4.png,arafed boy in lab coat looking at blue liquid in a laboratory
Age_A_teenager_performing_a_science_experiment_in_a_la_img5.png,arafed boy in a blue shirt and glasses is doing a science experiment
Age_A_teenager_performing_a_science_experiment_in_a_la_img6.png,arafed boy in a lab with a beaker and a lot of glasses
Age_A_teenager_performing_a_science_experiment_in_a_la_img7.png,arafed male in a lab coat and goggles holding a cup
Age_A_teenager_practicing_dance_in_a_studio__img1.png,there is a woman that is doing a dance pose in a room
Age_A_teenager_practicing_dance_in_a_studio__img2.png,arafed woman in pink tank top doing a split in a dance studio
Age_A_teenager_practicing_dance_in_a_studio__img3.png,arafed woman in a skirt is dancing in a dance studio
Age_A_teenager_practicing_dance_in_a_studio__img4.png,two women in a dance studio doing a handstand pose
Age_A_teenager_practicing_dance_in_a_studio__img5.png,arafed woman in a red shirt and black pants is doing a dance
Age_A_teenager_practicing_dance_in_a_studio__img6.png,there is a woman in a pink tank top holding a white frisbee
Age_A_teenager_practicing_dance_in_a_studio__img7.png,dancers in a dance studio practicing their moves
Age_A_teenager_studying_in_a_library_surrounded_by_boo_img1.png,arafed boy sitting on a chair reading a book in front of a bookcase
Age_A_teenager_studying_in_a_library_surrounded_by_boo_img2.png,there is a young boy sitting on the floor reading a book
Age_A_teenager_studying_in_a_library_surrounded_by_boo_img3.png,arafed boy sitting on a bench in front of a book shelf
Age_A_teenager_studying_in_a_library_surrounded_by_boo_img4.png,arafed boy sitting at a table with books in front of him
Age_A_teenager_studying_in_a_library_surrounded_by_boo_img5.png,arafed woman sitting on a chair in a library reading a book
Age_A_teenager_studying_in_a_library_surrounded_by_boo_img6.png,arafed boy sitting in front of a table with a book
Age_A_teenager_studying_in_a_library_surrounded_by_boo_img7.png,arafed boy sitting in a library reading a book
Age_A_young_adult_attending_a_festival__img1.png,araffes in a crowd of people at a music festival
Age_A_young_adult_attending_a_festival__img2.png,there is a woman wearing a hat and a backpack walking in a crowd
Age_A_young_adult_attending_a_festival__img3.png,there is a woman that is standing in front of a crowd
Age_A_young_adult_attending_a_festival__img4.png,araffe woman in a red vest and blue jeans standing in a field
Age_A_young_adult_attending_a_festival__img5.png,there is a woman with sunglasses standing in front of a crowd
Age_A_young_adult_attending_a_festival__img6.png,araffe woman with sunglasses standing in front of a crowd of people
Age_A_young_adult_attending_a_festival__img7.png,araffe woman standing in a field with a crowd of people
Age_A_young_adult_at_a_job_interview_in_an_office__img1.png,woman in business attire sitting at a table with a man in a suit
Age_A_young_adult_at_a_job_interview_in_an_office__img2.png,woman in blue jacket sitting at a table with papers and a folder
Age_A_young_adult_at_a_job_interview_in_an_office__img3.png,there is a man in a suit sitting at a table with a laptop
Age_A_young_adult_at_a_job_interview_in_an_office__img4.png,woman sitting at a table with papers and pen in front of her
Age_A_young_adult_at_a_job_interview_in_an_office__img5.png,there is a man sitting in a chair in a room
Age_A_young_adult_at_a_job_interview_in_an_office__img6.png,there is a man and woman sitting at a table talking
Age_A_young_adult_at_a_job_interview_in_an_office__img7.png,arafed woman sitting in front of a laptop computer with her hand on her chin
Age_A_young_adult_hiking_on_a_mountain_trail__img1.png,a woman hiking up a trail in the woods with a backpack
Age_A_young_adult_hiking_on_a_mountain_trail__img2.png,araffe walking on a trail in the woods with a backpack
Age_A_young_adult_hiking_on_a_mountain_trail__img3.png,arafed woman walking on a trail in the woods with a backpack
Age_A_young_adult_hiking_on_a_mountain_trail__img4.png,there is a woman walking up a trail with a backpack
Age_A_young_adult_hiking_on_a_mountain_trail__img5.png,there is a man with a backpack walking up a trail
Age_A_young_adult_hiking_on_a_mountain_trail__img6.png,a man with a backpack walking on a trail through the woods
Age_A_young_adult_hiking_on_a_mountain_trail__img7.png,there is a man walking down a trail in the woods
Age_A_young_adult_on_a_road_trip_with_a_group_of_frien_img1.png,there are four people taking a selfie together in the field
Age_A_young_adult_on_a_road_trip_with_a_group_of_frien_img2.png,araffes sitting in the trunk of a car with their luggage
Age_A_young_adult_on_a_road_trip_with_a_group_of_frien_img3.png,two men sitting in a car smiling and looking at the camera
Age_A_young_adult_on_a_road_trip_with_a_group_of_frien_img4.png,three young people sitting in the back of a car with a dog
Age_A_young_adult_on_a_road_trip_with_a_group_of_frien_img5.png,three women sitting in a car with their arms out the window
Age_A_young_adult_on_a_road_trip_with_a_group_of_frien_img6.png,araffe woman sitting in the open door of a car on a country road
Age_A_young_adult_on_a_road_trip_with_a_group_of_frien_img7.png,there are four people sitting in the back of a car
Age_A_young_adult_walking_down_a_busy_street_with_frie_img1.png,several people walking on a brick sidewalk with a cell phone
Age_A_young_adult_walking_down_a_busy_street_with_frie_img2.png,several people walking down a street with trees in the background
Age_A_young_adult_walking_down_a_busy_street_with_frie_img3.png,three women walking down the street with their backs turned
