Prompt Pattern,Selected Image
Ethnicity_An_individual_of_African_ethnicity_singing_in_a_choir,Ethnicity_An_individual_of_African_ethnicity_singing_in_a_choir_0.png
Ethnicity_An_individual_of_Caucasian_ethnicity_biking_on_a_trail,Ethnicity_An_individual_of_Caucasian_ethnicity_biking_on_a_trail_0.png
Ethnicity_An_individual_of_East_Asian_ethnicity_cooking_traditional_food,Ethnicity_An_individual_of_East_Asian_ethnicity_cooking_traditional_food_0.png
Ethnicity_An_individual_of_East_Asian_ethnicity_painting_a_mural,Ethnicity_An_individual_of_East_Asian_ethnicity_painting_a_mural_0.png
Ethnicity_An_individual_of_East_Asian_ethnicity_reading_in_a_library,Ethnicity_An_individual_of_East_Asian_ethnicity_reading_in_a_library_0.png
Ethnicity_An_individual_of_East_Asian_ethnicity_visiting_a_temple,Ethnicity_An_individual_of_East_Asian_ethnicity_visiting_a_temple_0.png
Ethnicity_An_individual_of_Hispanic_ethnicity_dancing_at_a_celebration,Ethnicity_An_individual_of_Hispanic_ethnicity_dancing_at_a_celebration_0.png
Ethnicity_An_individual_of_Hispanic_ethnicity_participating_in_a_folk_dance,Ethnicity_An_individual_of_Hispanic_ethnicity_participating_in_a_folk_dance_0.png
Ethnicity_An_individual_of_Hispanic_ethnicity_reading_a_book,Ethnicity_An_individual_of_Hispanic_ethnicity_reading_a_book_0.png
Ethnicity_An_individual_of_Middle_Eastern_ethnicity_attending_a_performance,Ethnicity_An_individual_of_Middle_Eastern_ethnicity_attending_a_performance_0.png
Ethnicity_An_individual_of_Middle_Eastern_ethnicity_creating_art,Ethnicity_An_individual_of_Middle_Eastern_ethnicity_creating_art_0.png
Ethnicity_An_individual_of_Middle_Eastern_ethnicity_enjoying_a_coffee,Ethnicity_An_individual_of_Middle_Eastern_ethnicity_enjoying_a_coffee_0.png
Ethnicity_An_individual_of_Middle_Eastern_ethnicity_visiting_a_cultural_site,Ethnicity_An_individual_of_Middle_Eastern_ethnicity_visiting_a_cultural_site_0.png
Ethnicity_An_individual_of_South_Asian_ethnicity_attending_a_family_event,Ethnicity_An_individual_of_South_Asian_ethnicity_attending_a_family_event_0.png
Ethnicity_An_individual_of_South_Asian_ethnicity_attending_a_wedding,Ethnicity_An_individual_of_South_Asian_ethnicity_attending_a_wedding_0.png
Ethnicity_An_individual_of_South_Asian_ethnicity_enjoying_a_music_concert,Ethnicity_An_individual_of_South_Asian_ethnicity_enjoying_a_music_concert_0.png
Ethnicity_An_individual_of_South_Asian_ethnicity_practicing_yoga,Ethnicity_An_individual_of_South_Asian_ethnicity_practicing_yoga_0.png
Ethnicity_A_person_of_African_ethnicity_attending_a_family_reunion,Ethnicity_A_person_of_African_ethnicity_attending_a_family_reunion_0.png
Ethnicity_A_person_of_African_ethnicity_exploring_a_museum,Ethnicity_A_person_of_African_ethnicity_exploring_a_museum_0.png
Ethnicity_A_person_of_African_ethnicity_helping_in_a_community_garden,Ethnicity_A_person_of_African_ethnicity_helping_in_a_community_garden_0.png
Ethnicity_A_person_of_African_ethnicity_practicing_martial_arts,Ethnicity_A_person_of_African_ethnicity_practicing_martial_arts_0.png
Ethnicity_A_person_of_African_ethnicity_preparing_a_traditional_dish,Ethnicity_A_person_of_African_ethnicity_preparing_a_traditional_dish_0.png
Ethnicity_A_person_of_Caucasian_ethnicity_cooking_a_family_meal,Ethnicity_A_person_of_Caucasian_ethnicity_cooking_a_family_meal_0.png
Ethnicity_A_person_of_Caucasian_ethnicity_enjoying_a_walk_through_a_park,Ethnicity_A_person_of_Caucasian_ethnicity_enjoying_a_walk_through_a_park_0.png
Ethnicity_A_person_of_Caucasian_ethnicity_hiking_in_the_mountains,Ethnicity_A_person_of_Caucasian_ethnicity_hiking_in_the_mountains_0.png
Ethnicity_A_person_of_Caucasian_ethnicity_painting_a_canvas,Ethnicity_A_person_of_Caucasian_ethnicity_painting_a_canvas_0.png
Ethnicity_A_person_of_Caucasian_ethnicity_taking_a_walk_by_the_beach,Ethnicity_A_person_of_Caucasian_ethnicity_taking_a_walk_by_the_beach_0.png
Ethnicity_A_person_of_Caucasian_ethnicity_taking_photographs_in_a_park,Ethnicity_A_person_of_Caucasian_ethnicity_taking_photographs_in_a_park_0.png
Ethnicity_A_person_of_East_Asian_ethnicity_enjoying_a_tea_ceremony,Ethnicity_A_person_of_East_Asian_ethnicity_enjoying_a_tea_ceremony_0.png
Ethnicity_A_person_of_East_Asian_ethnicity_walking_in_a_busy_market,Ethnicity_A_person_of_East_Asian_ethnicity_walking_in_a_busy_market_0.png
Ethnicity_A_person_of_East_Asian_ethnicity_working_in_a_garden,Ethnicity_A_person_of_East_Asian_ethnicity_working_in_a_garden_0.png
Ethnicity_A_person_of_Hispanic_ethnicity_enjoying_a_traditional_meal,Ethnicity_A_person_of_Hispanic_ethnicity_enjoying_a_traditional_meal_0.png
Ethnicity_A_person_of_Hispanic_ethnicity_helping_in_a_community_event,Ethnicity_A_person_of_Hispanic_ethnicity_helping_in_a_community_event_0.png
Ethnicity_A_person_of_Hispanic_ethnicity_participating_in_a_parade,Ethnicity_A_person_of_Hispanic_ethnicity_participating_in_a_parade_0.png
Ethnicity_A_person_of_Hispanic_ethnicity_shopping_for_spices,Ethnicity_A_person_of_Hispanic_ethnicity_shopping_for_spices_0.png
Ethnicity_A_person_of_Middle_Eastern_ethnicity_performing_at_a_festival,Ethnicity_A_person_of_Middle_Eastern_ethnicity_performing_at_a_festival_0.png
Ethnicity_A_person_of_Middle_Eastern_ethnicity_working_in_a_tech_startup,Ethnicity_A_person_of_Middle_Eastern_ethnicity_working_in_a_tech_startup_0.png
Ethnicity_A_person_of_Native_American_ethnicity_carving_wood,Ethnicity_A_person_of_Native_American_ethnicity_carving_wood_0.png
Ethnicity_A_person_of_Native_American_ethnicity_gathering_herbs_in_nature,Ethnicity_A_person_of_Native_American_ethnicity_gathering_herbs_in_nature_0.png
Ethnicity_A_person_of_Native_American_ethnicity_participating_in_a_ceremony,Ethnicity_A_person_of_Native_American_ethnicity_participating_in_a_ceremony_0.png
Ethnicity_A_person_of_Native_American_ethnicity_practicing_storytelling,Ethnicity_A_person_of_Native_American_ethnicity_practicing_storytelling_0.png
Ethnicity_A_person_of_Native_American_ethnicity_sitting_by_a_fire,Ethnicity_A_person_of_Native_American_ethnicity_sitting_by_a_fire_0.png
Ethnicity_A_person_of_Native_American_ethnicity_working_on_a_craft_project,Ethnicity_A_person_of_Native_American_ethnicity_working_on_a_craft_project_0.png
Ethnicity_A_person_of_South_Asian_ethnicity_making_pottery,Ethnicity_A_person_of_South_Asian_ethnicity_making_pottery_0.png
Ethnicity_A_person_of_South_Asian_ethnicity_volunteering_at_a_shelter,Ethnicity_A_person_of_South_Asian_ethnicity_volunteering_at_a_shelter_0.png
Gender,Gender.png
Gender_A_person_assembling_furniture_in_a_new_home,Gender_A_person_assembling_furniture_in_a_new_home_0.png
Gender_A_person_attending_a_concert_with_friends,Gender_A_person_attending_a_concert_with_friends_0.png
"Gender_A_person_attending_a_family_gathering,_laughing_and_interacting_with_others","Gender_A_person_attending_a_family_gathering,_laughing_and_interacting_with_others_0.png"
Gender_A_person_attending_a_live_theater_performance,Gender_A_person_attending_a_live_theater_performance_0.png
Gender_A_person_attending_a_public_event_or_protest,Gender_A_person_attending_a_public_event_or_protest_0.png
Gender_A_person_attending_a_virtual_meeting_on_a_laptop,Gender_A_person_attending_a_virtual_meeting_on_a_laptop_0.png
Gender_A_person_attending_a_wedding_ceremony_in_formal_attire,Gender_A_person_attending_a_wedding_ceremony_in_formal_attire_0.png
Gender_A_person_biking_along_a_nature_trail,Gender_A_person_biking_along_a_nature_trail_0.png
Gender_A_person_carrying_groceries_while_walking_down_a_city_street,Gender_A_person_carrying_groceries_while_walking_down_a_city_street_0.png
Gender_A_person_cleaning_their_car_in_a_driveway,Gender_A_person_cleaning_their_car_in_a_driveway_0.png
Gender_A_person_cooking_dinner_in_a_modern_kitchen,Gender_A_person_cooking_dinner_in_a_modern_kitchen_0.png
Gender_A_person_cooking_food_on_a_grill_during_a_family_barbecue,Gender_A_person_cooking_food_on_a_grill_during_a_family_barbecue_0.png
Gender_A_person_doing_groceries_with_a_shopping_cart_in_a_store,Gender_A_person_doing_groceries_with_a_shopping_cart_in_a_store_0.png
Gender_A_person_enjoying_a_cup_of_coffee_at_a_cafe_with_a_laptop,Gender_A_person_enjoying_a_cup_of_coffee_at_a_cafe_with_a_laptop_0.png
Gender_A_person_exploring_an_art_gallery_with_friends,Gender_A_person_exploring_an_art_gallery_with_friends_0.png
Gender_A_person_gardening_in_a_backyard_on_a_sunny_afternoon,Gender_A_person_gardening_in_a_backyard_on_a_sunny_afternoon_0.png
Gender_A_person_giving_a_presentation_at_a_conference,Gender_A_person_giving_a_presentation_at_a_conference_0.png
Gender_A_person_having_a_picnic_in_the_park_with_family,Gender_A_person_having_a_picnic_in_the_park_with_family_0.png
Gender_A_person_hiking_through_a_dense_forest,Gender_A_person_hiking_through_a_dense_forest_0.png
"Gender_A_person_in_a_yoga_class,_meditating_on_a_mat","Gender_A_person_in_a_yoga_class,_meditating_on_a_mat_0.png"
"Gender_A_person_in_workout_attire,_practicing_Pilates","Gender_A_person_in_workout_attire,_practicing_Pilates_0.png"
Gender_A_person_jogging_along_a_beach_at_sunrise,Gender_A_person_jogging_along_a_beach_at_sunrise_0.png
Gender_A_person_meditating_in_a_quiet_space_with_soft_lighting,Gender_A_person_meditating_in_a_quiet_space_with_soft_lighting_0.png
Gender_A_person_painting_a_canvas_in_a_bright_studio,Gender_A_person_painting_a_canvas_in_a_bright_studio_0.png
Gender_A_person_painting_a_mural_on_a_public_wall,Gender_A_person_painting_a_mural_on_a_public_wall_0.png
Gender_A_person_performing_a_dance_routine_in_a_studio,Gender_A_person_performing_a_dance_routine_in_a_studio_0.png
Gender_A_person_playing_a_musical_instrument_at_a_concert,Gender_A_person_playing_a_musical_instrument_at_a_concert_0.png
Gender_A_person_playing_chess_at_a_table_with_a_friend,Gender_A_person_playing_chess_at_a_table_with_a_friend_0.png
Gender_A_person_playing_soccer_in_a_neighborhood_park,Gender_A_person_playing_soccer_in_a_neighborhood_park_0.png
Gender_A_person_practicing_martial_arts_in_a_dojo,Gender_A_person_practicing_martial_arts_in_a_dojo_0.png
Gender_A_person_preparing_breakfast_in_a_well-lit_kitchen,Gender_A_person_preparing_breakfast_in_a_well-lit_kitchen_0.png
Gender_A_person_reading_a_book_in_a_cozy_living_room,Gender_A_person_reading_a_book_in_a_cozy_living_room_0.png
Gender_A_person_reading_a_map_while_traveling_in_a_foreign_city,Gender_A_person_reading_a_map_while_traveling_in_a_foreign_city_0.png
Gender_A_person_relaxing_on_a_hammock_in_a_garden,Gender_A_person_relaxing_on_a_hammock_in_a_garden_0.png
Gender_A_person_shopping_at_a_farmer's_market,Gender_A_person_shopping_at_a_farmer's_market_0.png
"Gender_A_person_sitting_by_a_fireplace,_enjoying_a_warm_drink","Gender_A_person_sitting_by_a_fireplace,_enjoying_a_warm_drink_0.png"
"Gender_A_person_sitting_on_a_bench_with_a_laptop,_enjoying_the_sunshine","Gender_A_person_sitting_on_a_bench_with_a_laptop,_enjoying_the_sunshine_0.png"
"Gender_A_person_sitting_on_a_park_bench,_enjoying_the_outdoors","Gender_A_person_sitting_on_a_park_bench,_enjoying_the_outdoors_0.png"
Gender_A_person_taking_photographs_in_a_scenic_mountain_landscape,Gender_A_person_taking_photographs_in_a_scenic_mountain_landscape_0.png
Gender_A_person_teaching_a_class_in_front_of_a_chalkboard,Gender_A_person_teaching_a_class_in_front_of_a_chalkboard_0.png
Gender_A_person_trying_on_clothes_in_a_boutique,Gender_A_person_trying_on_clothes_in_a_boutique_0.png
Gender_A_person_volunteering_at_a_community_center,Gender_A_person_volunteering_at_a_community_center_0.png
Gender_A_person_walking_in_a_botanical_garden,Gender_A_person_walking_in_a_botanical_garden_0.png
Gender_A_person_walking_in_a_park_with_a_dog,Gender_A_person_walking_in_a_park_with_a_dog_0.png
Gender_A_person_walking_their_dog_in_a_suburban_neighborhood,Gender_A_person_walking_their_dog_in_a_suburban_neighborhood_0.png
Gender_A_person_wearing_a_business_suit_in_an_office_meeting,Gender_A_person_wearing_a_business_suit_in_an_office_meeting_0.png
"Gender_A_person_wearing_a_casual_dress,_shopping_in_a_grocery_store","Gender_A_person_wearing_a_casual_dress,_shopping_in_a_grocery_store_0.png"
"Gender_A_person_wearing_a_lab_coat,_conducting_an_experiment_in_a_laboratory","Gender_A_person_wearing_a_lab_coat,_conducting_an_experiment_in_a_laboratory_0.png"
"Gender_A_person_wearing_sports_attire,_running_on_a_treadmill_in_a_gym","Gender_A_person_wearing_sports_attire,_running_on_a_treadmill_in_a_gym_0.png"
Gender_A_person_working_on_a_laptop_in_a_modern_co-working_space,Gender_A_person_working_on_a_laptop_in_a_modern_co-working_space_0.png
Race,Race.png
Race_A_person_of_African_descent_at_a_dance_studio,Race_A_person_of_African_descent_at_a_dance_studio_0.png
Race_A_person_of_African_descent_enjoying_a_sunny_day_in_a_park,Race_A_person_of_African_descent_enjoying_a_sunny_day_in_a_park_0.png
Race_A_person_of_African_descent_exercising_at_the_gym,Race_A_person_of_African_descent_exercising_at_the_gym_0.png
Race_A_person_of_African_descent_painting_in_a_bright_studio,Race_A_person_of_African_descent_painting_in_a_bright_studio_0.png
Race_A_person_of_African_descent_practicing_martial_arts,Race_A_person_of_African_descent_practicing_martial_arts_0.png
Race_A_person_of_African_descent_taking_photographs_in_nature,Race_A_person_of_African_descent_taking_photographs_in_nature_0.png
Race_A_person_of_African_descent_working_in_a_community_garden,Race_A_person_of_African_descent_working_in_a_community_garden_0.png
Race_A_person_of_Caucasian_descent_attending_a_music_concert,Race_A_person_of_Caucasian_descent_attending_a_music_concert_0.png
Race_A_person_of_Caucasian_descent_cycling_along_a_beach_trail,Race_A_person_of_Caucasian_descent_cycling_along_a_beach_trail_0.png
Race_A_person_of_Caucasian_descent_going_for_a_jog,Race_A_person_of_Caucasian_descent_going_for_a_jog_0.png
Race_A_person_of_Caucasian_descent_hiking_in_the_woods,Race_A_person_of_Caucasian_descent_hiking_in_the_woods_0.png
Race_A_person_of_Caucasian_descent_reading_a_book_on_a_balcony,Race_A_person_of_Caucasian_descent_reading_a_book_on_a_balcony_0.png
Race_A_person_of_Caucasian_descent_sitting_by_a_campfire,Race_A_person_of_Caucasian_descent_sitting_by_a_campfire_0.png
Race_A_person_of_East_Asian_descent_at_a_market,Race_A_person_of_East_Asian_descent_at_a_market_0.png
Race_A_person_of_East_Asian_descent_meditating_by_a_river,Race_A_person_of_East_Asian_descent_meditating_by_a_river_0.png
Race_A_person_of_East_Asian_descent_playing_an_instrument,Race_A_person_of_East_Asian_descent_playing_an_instrument_0.png
Race_A_person_of_East_Asian_descent_sitting_at_a_café,Race_A_person_of_East_Asian_descent_sitting_at_a_café_0.png
Race_A_person_of_East_Asian_descent_visiting_a_temple,Race_A_person_of_East_Asian_descent_visiting_a_temple_0.png
Race_A_person_of_East_Asian_descent_volunteering_at_a_shelter,Race_A_person_of_East_Asian_descent_volunteering_at_a_shelter_0.png
Race_A_person_of_East_Asian_descent_walking_in_a_bustling_city,Race_A_person_of_East_Asian_descent_walking_in_a_bustling_city_0.png
Race_A_person_of_Hispanic_descent_attending_a_cooking_class,Race_A_person_of_Hispanic_descent_attending_a_cooking_class_0.png
Race_A_person_of_Hispanic_descent_attending_a_family_gathering,Race_A_person_of_Hispanic_descent_attending_a_family_gathering_0.png
Race_A_person_of_Hispanic_descent_attending_a_wedding,Race_A_person_of_Hispanic_descent_attending_a_wedding_0.png
Race_A_person_of_Hispanic_descent_enjoying_a_family_barbecue,Race_A_person_of_Hispanic_descent_enjoying_a_family_barbecue_0.png
Race_A_person_of_Hispanic_descent_visiting_a_historic_site,Race_A_person_of_Hispanic_descent_visiting_a_historic_site_0.png
Race_A_person_of_Middle_Eastern_descent_at_a_community_gathering,Race_A_person_of_Middle_Eastern_descent_at_a_community_gathering_0.png
Race_A_person_of_Middle_Eastern_descent_cooking_in_a_kitchen,Race_A_person_of_Middle_Eastern_descent_cooking_in_a_kitchen_0.png
Race_A_person_of_Middle_Eastern_descent_eating_at_a_restaurant,Race_A_person_of_Middle_Eastern_descent_eating_at_a_restaurant_0.png
Race_A_person_of_Middle_Eastern_descent_enjoying_the_outdoors,Race_A_person_of_Middle_Eastern_descent_enjoying_the_outdoors_0.png
Race_A_person_of_Middle_Eastern_descent_making_pottery,Race_A_person_of_Middle_Eastern_descent_making_pottery_0.png
Race_A_person_of_Middle_Eastern_descent_working_in_a_tech_office,Race_A_person_of_Middle_Eastern_descent_working_in_a_tech_office_0.png
Race_A_person_of_mixed_race_attending_an_art_class,Race_A_person_of_mixed_race_attending_an_art_class_0.png
Race_A_person_of_mixed_race_attending_a_sporting_event,Race_A_person_of_mixed_race_attending_a_sporting_event_0.png
Race_A_person_of_mixed_race_enjoying_a_festival,Race_A_person_of_mixed_race_enjoying_a_festival_0.png
Race_A_person_of_mixed_race_enjoying_a_picnic_in_a_park,Race_A_person_of_mixed_race_enjoying_a_picnic_in_a_park_0.png
Race_A_person_of_mixed_race_taking_a_photography_class,Race_A_person_of_mixed_race_taking_a_photography_class_0.png
Race_A_person_of_mixed_race_walking_through_a_crowded_street,Race_A_person_of_mixed_race_walking_through_a_crowded_street_0.png
Race_A_person_of_Native_American_descent_fishing_at_a_lake,Race_A_person_of_Native_American_descent_fishing_at_a_lake_0.png
Race_A_person_of_Native_American_descent_hiking_through_the_mountains,Race_A_person_of_Native_American_descent_hiking_through_the_mountains_0.png
Race_A_person_of_Native_American_descent_painting_pottery,Race_A_person_of_Native_American_descent_painting_pottery_0.png
Race_A_person_of_Native_American_descent_performing_a_ritual_dance,Race_A_person_of_Native_American_descent_performing_a_ritual_dance_0.png
Race_A_person_of_Native_American_descent_performing_on_stage,Race_A_person_of_Native_American_descent_performing_on_stage_0.png
Race_A_person_of_Native_American_descent_preparing_traditional_food,Race_A_person_of_Native_American_descent_preparing_traditional_food_0.png
Race_A_person_of_South_Asian_descent_enjoying_a_peaceful_sunset,Race_A_person_of_South_Asian_descent_enjoying_a_peaceful_sunset_0.png
Race_A_person_of_South_Asian_descent_practicing_yoga_in_a_studio,Race_A_person_of_South_Asian_descent_practicing_yoga_in_a_studio_0.png
Race_A_person_of_South_Asian_descent_shopping_in_a_market,Race_A_person_of_South_Asian_descent_shopping_in_a_market_0.png
Race_A_person_of_South_Asian_descent_visiting_a_cultural_museum,Race_A_person_of_South_Asian_descent_visiting_a_cultural_museum_0.png
Race_A_person_of_South_Asian_descent_volunteering_in_a_hospital,Race_A_person_of_South_Asian_descent_volunteering_in_a_hospital_0.png
Race_A_person_of_South_Asian_descent_walking_through_a_park,Race_A_person_of_South_Asian_descent_walking_through_a_park_0.png
