Image Filename,Category,Prompt,Generated Caption,Caption Alignment Score
Age_An_elderly_person_watching_birds_from_their_window_img2.png,Unknown,Unknown,there is a woman that is looking out of a window,1.0
Age_An_elderly_person_watching_birds_from_their_window_img3.png,Unknown,Unknown,there is a man looking out of a window at a bird,1.0
Age_An_elderly_person_watching_birds_from_their_window_img4.png,Unknown,Unknown,elderly woman looking out of window at rain coming in,1.0
Age_An_elderly_person_watching_birds_from_their_window_img5.png,Unknown,Unknown,there is a woman looking out a window at a bird,1.0
Age_An_elderly_person_watching_birds_from_their_window_img6.png,Unknown,Unknown,there is a woman sitting at a window looking out,1.0
Age_An_elderly_person_watching_birds_from_their_window_img7.png,Unknown,Unknown,there is a black and white photo of an old woman looking out a window,1.0
Age_An_older_couple_strolling_down_a_scenic_beach__img1.png,Unknown,Unknown,older couple walking on the beach towards the ocean,1.0
Age_An_older_couple_strolling_down_a_scenic_beach__img2.png,Unknown,Unknown,older couple walking on the beach holding hands,1.0
Age_An_older_couple_strolling_down_a_scenic_beach__img3.png,Unknown,Unknown,older couple walking on the beach holding hands,1.0
Age_An_older_couple_strolling_down_a_scenic_beach__img4.png,Unknown,Unknown,they are walking on the beach holding hands,1.0
Age_An_older_couple_strolling_down_a_scenic_beach__img5.png,Unknown,Unknown,older couple walking on the beach under a tree,1.0
Age_An_older_couple_strolling_down_a_scenic_beach__img6.png,Unknown,Unknown,older couple walking on a beach holding hands,1.0
Age_An_older_couple_strolling_down_a_scenic_beach__img7.png,Unknown,Unknown,older couple walking on the beach holding hands,1.0
Age_An_older_person_knitting_in_a_cozy_living_room__img1.png,Unknown,Unknown,elderly woman knitting a sweater on a couch in a living room,1.0
Age_An_older_person_knitting_in_a_cozy_living_room__img2.png,Unknown,Unknown,arafed woman sitting in a chair with a knitting needle,1.0
Age_An_older_person_knitting_in_a_cozy_living_room__img3.png,Unknown,Unknown,an older woman sitting on a couch knitting a blanket,1.0
Age_An_older_person_knitting_in_a_cozy_living_room__img4.png,Unknown,Unknown,elderly woman sitting on a couch holding a cane and looking at a book,1.0
Age_An_older_person_knitting_in_a_cozy_living_room__img5.png,Unknown,Unknown,an older woman sitting in a chair with a pair of scissors,1.0
Age_An_older_person_knitting_in_a_cozy_living_room__img6.png,Unknown,Unknown,an older woman sitting on a couch holding a cell phone,1.0
Age_An_older_person_knitting_in_a_cozy_living_room__img7.png,Unknown,Unknown,elderly woman sitting in chair holding a wooden stick in her hand,1.0
Age_An_older_person_playing_a_board_game_with_family__img1.png,Unknown,Unknown,three older people playing a board game together in a living room,1.0
Age_An_older_person_playing_a_board_game_with_family__img2.png,Unknown,Unknown,older people playing a game of board games at a table,1.0
Age_An_older_person_playing_a_board_game_with_family__img3.png,Unknown,Unknown,three people playing a board game together in a living room,1.0
Age_An_older_person_playing_a_board_game_with_family__img4.png,Unknown,Unknown,three elderly people playing a game of board games at a table,1.0
Age_An_older_person_playing_a_board_game_with_family__img5.png,Unknown,Unknown,three elderly people playing a game of board games on a table,1.0
Age_An_older_person_playing_a_board_game_with_family__img6.png,Unknown,Unknown,older woman playing a game of checkers with older woman sitting on a couch,1.0
Age_An_older_person_playing_a_board_game_with_family__img7.png,Unknown,Unknown,several elderly people playing a game of board games at a table,1.0
Age_A_child_learning_to_ride_a_bicycle_in_the_park__img1.png,Unknown,Unknown,there is a man that is standing in the dark with a cell phone,1.0
Age_A_child_learning_to_ride_a_bicycle_in_the_park__img2.png,Unknown,Unknown,arafed child riding a pink bike on a paved path,1.0
Age_A_child_learning_to_ride_a_bicycle_in_the_park__img3.png,Unknown,Unknown,there is a young boy riding a bike in a park,1.0
Age_A_child_learning_to_ride_a_bicycle_in_the_park__img4.png,Unknown,Unknown,a close up of a child riding a bike in a park,1.0
Age_A_child_learning_to_ride_a_bicycle_in_the_park__img5.png,Unknown,Unknown,there is a young child riding a bike on a path,1.0
Age_A_child_learning_to_ride_a_bicycle_in_the_park__img6.png,Unknown,Unknown,there is a young child riding a bike on a path,1.0
Age_A_child_learning_to_ride_a_bicycle_in_the_park__img7.png,Unknown,Unknown,arafed boy riding a bike in a park with a helmet on,1.0
Age_A_child_playing_in_the_snow_with_friends__img1.png,Unknown,Unknown,there are two children playing in the snow with a frisbee,1.0
Age_A_child_playing_in_the_snow_with_friends__img2.png,Unknown,Unknown,there are three children playing in the snow with their hands up,1.0
Age_A_child_playing_in_the_snow_with_friends__img3.png,Unknown,Unknown,three children are playing in the snow in a park,1.0
Age_A_child_playing_in_the_snow_with_friends__img4.png,Unknown,Unknown,there is a small child that is playing in the snow,1.0
Age_A_child_playing_in_the_snow_with_friends__img5.png,Unknown,Unknown,there is a small child sitting in the snow with her arms outstretched,1.0
Age_A_child_playing_in_the_snow_with_friends__img6.png,Unknown,Unknown,several children are playing in the snow with their hands in the air,1.0
Age_A_child_playing_in_the_snow_with_friends__img7.png,Unknown,Unknown,several children are playing in the snow with a frisbee,1.0
Age_A_child_playing_with_a_ball_in_a_park__img1.png,Unknown,Unknown,there is a young boy sitting on the ground with a red ball,1.0
Age_A_child_playing_with_a_ball_in_a_park__img2.png,Unknown,Unknown,arafed boy in grey shirt playing with a white ball in a park,1.0
Age_A_child_playing_with_a_ball_in_a_park__img3.png,Unknown,Unknown,there is a baby playing with a soccer ball in the grass,1.0
Age_A_child_playing_with_a_ball_in_a_park__img4.png,Unknown,Unknown,there is a young boy running with a red ball in a park,1.0
Age_A_child_playing_with_a_ball_in_a_park__img5.png,Unknown,Unknown,there is a young boy holding a red ball in a park,1.0
Age_A_child_playing_with_a_ball_in_a_park__img6.png,Unknown,Unknown,there is a young boy kicking a soccer ball in the grass,1.0
Age_A_child_playing_with_a_ball_in_a_park__img7.png,Unknown,Unknown,there is a young boy playing with a green ball in the grass,1.0
Age_A_child_playing_with_toys_in_a_playroom__img1.png,Unknown,Unknown,there are two children playing with toys in a play room,1.0
Age_A_child_playing_with_toys_in_a_playroom__img2.png,Unknown,Unknown,there is a young girl sitting on the floor playing with toys,1.0
Age_A_child_playing_with_toys_in_a_playroom__img3.png,Unknown,Unknown,there is a young child playing with a toy train on the floor,1.0
Age_A_child_playing_with_toys_in_a_playroom__img4.png,Unknown,Unknown,there is a young child playing with blocks in a play room,1.0
Age_A_child_playing_with_toys_in_a_playroom__img5.png,Unknown,Unknown,there is a young boy playing with a toy in a room,1.0
Age_A_child_playing_with_toys_in_a_playroom__img6.png,Unknown,Unknown,there is a small child playing with a toy truck on the floor,1.0
Age_A_child_playing_with_toys_in_a_playroom__img7.png,Unknown,Unknown,there is a young child playing with a toy on the floor,1.0
Age_A_child_running_through_a_sprinkler_on_a_hot_day__img1.png,Unknown,Unknown,there is a young boy running through a sprinkle of water,1.0
Age_A_child_running_through_a_sprinkler_on_a_hot_day__img2.png,Unknown,Unknown,araffe girl running through a sprinkle of water in a park,1.0
Age_A_child_running_through_a_sprinkler_on_a_hot_day__img3.png,Unknown,Unknown,araffe girl running through sprinkles of water in a yard,1.0
Age_A_child_running_through_a_sprinkler_on_a_hot_day__img4.png,Unknown,Unknown,araffe kid running through sprinkler in grassy area with trees in background,1.0
Age_A_child_running_through_a_sprinkler_on_a_hot_day__img5.png,Unknown,Unknown,there is a little girl running through a sprinkle of water,1.0
Age_A_child_running_through_a_sprinkler_on_a_hot_day__img6.png,Unknown,Unknown,there is a little boy running in the grass with a sprinkler,1.0
Age_A_child_running_through_a_sprinkler_on_a_hot_day__img7.png,Unknown,Unknown,araffe running through a sprinkle of water in a park,1.0
Age_A_family_having_a_picnic_in_a_park_on_a_sunny_day__img1.png,Unknown,Unknown,araffe family having a picnic in the park with a picnic basket,1.0
Age_A_family_having_a_picnic_in_a_park_on_a_sunny_day__img2.png,Unknown,Unknown,araffe family having a picnic in the park,1.0
Age_A_family_having_a_picnic_in_a_park_on_a_sunny_day__img3.png,Unknown,Unknown,araffe family having a picnic in the park with a picnic basket,1.0
Age_A_family_having_a_picnic_in_a_park_on_a_sunny_day__img4.png,Unknown,Unknown,araffe family having a picnic in the park with a picnic basket,1.0
Age_A_family_having_a_picnic_in_a_park_on_a_sunny_day__img5.png,Unknown,Unknown,araffe family sitting on the grass in a park with a picnic basket,1.0
Age_A_family_having_a_picnic_in_a_park_on_a_sunny_day__img6.png,Unknown,Unknown,araffe family having a picnic in the park with a picnic basket,1.0
Age_A_family_having_a_picnic_in_a_park_on_a_sunny_day__img7.png,Unknown,Unknown,araffe family having a picnic in the park with a basket of apples,1.0
Age_A_family_taking_a_stroll_along_a_lake__img1.png,Unknown,Unknown,there are a group of people walking in the water together,1.0
Age_A_family_taking_a_stroll_along_a_lake__img2.png,Unknown,Unknown,there are two people walking along the water with a child,1.0
Age_A_family_taking_a_stroll_along_a_lake__img3.png,Unknown,Unknown,there are two people and a child walking in the water,1.0
Age_A_family_taking_a_stroll_along_a_lake__img4.png,Unknown,Unknown,there are three people walking along the shore of a lake,1.0
Age_A_family_taking_a_stroll_along_a_lake__img5.png,Unknown,Unknown,there are two people and a child walking in the water,1.0
Age_A_family_taking_a_stroll_along_a_lake__img6.png,Unknown,Unknown,araffe family walking through a river with their dog,1.0
Age_A_family_taking_a_stroll_along_a_lake__img7.png,Unknown,Unknown,arafed family walking along a path by a lake,1.0
Age_A_middle_aged_person_cooking_in_a_spacious_kitchen_img1.png,Unknown,Unknown,chef in white shirt and white apron stirring food on stove,1.0
Age_A_middle_aged_person_cooking_in_a_spacious_kitchen_img2.png,Unknown,Unknown,there is a man standing in a kitchen preparing food on the stove,1.0
Age_A_middle_aged_person_cooking_in_a_spacious_kitchen_img3.png,Unknown,Unknown,woman in a kitchen cutting vegetables on a cutting board,1.0
Age_A_middle_aged_person_cooking_in_a_spacious_kitchen_img4.png,Unknown,Unknown,woman in blue shirt cooking in kitchen with vegetables and a bowl,1.0
Age_A_middle_aged_person_cooking_in_a_spacious_kitchen_img5.png,Unknown,Unknown,woman cooking vegetables in a large pan on a stove top,1.0
Age_A_middle_aged_person_cooking_in_a_spacious_kitchen_img6.png,Unknown,Unknown,chef preparing food in a kitchen with a stove and stove top,1.0
Age_A_middle_aged_person_cooking_in_a_spacious_kitchen_img7.png,Unknown,Unknown,woman preparing food in a kitchen with a large pan on a counter,1.0
Age_A_middle_aged_person_doing_home_repairs__img1.png,Unknown,Unknown,arafed man in blue shirt and orange hard hat fixing a kitchen sink,1.0
Age_A_middle_aged_person_doing_home_repairs__img2.png,Unknown,Unknown,a man in blue overalls and gloves is painting a wall,1.0
Age_A_middle_aged_person_doing_home_repairs__img3.png,Unknown,Unknown,arafed man in a hard hat plastering a wall with a hammer,1.0
Age_A_middle_aged_person_doing_home_repairs__img4.png,Unknown,Unknown,a man in blue overalls and yellow gloves is fixing a wall,1.0
Age_A_middle_aged_person_doing_home_repairs__img5.png,Unknown,Unknown,arafed man in a hard hat is using a tool to fix a wall,1.0
Age_A_middle_aged_person_doing_home_repairs__img6.png,Unknown,Unknown,arafed man using a nail gun to remove a wall,1.0
Age_A_middle_aged_person_doing_home_repairs__img7.png,Unknown,Unknown,arafed man in blue shirt and white gloves painting a wall,1.0
Age_A_middle_aged_person_reading_a_book_by_a_fireplace_img1.png,Unknown,Unknown,fireplace with a fire in it in a living room with a chair and a table,1.0
Age_A_middle_aged_person_reading_a_book_by_a_fireplace_img2.png,Unknown,Unknown,woman reading a book in front of a fireplace with fire,1.0
Age_A_middle_aged_person_reading_a_book_by_a_fireplace_img3.png,Unknown,Unknown,arafed man sitting on a couch reading a book in front of a fireplace,1.0
Age_A_middle_aged_person_reading_a_book_by_a_fireplace_img4.png,Unknown,Unknown,there is a man reading a book in front of a fireplace,1.0
Age_A_middle_aged_person_reading_a_book_by_a_fireplace_img5.png,Unknown,Unknown,there is a man sitting in a chair reading a book,1.0
Age_A_middle_aged_person_reading_a_book_by_a_fireplace_img6.png,Unknown,Unknown,arafed man reading a book in front of a fireplace,1.0
Age_A_middle_aged_person_reading_a_book_by_a_fireplace_img7.png,Unknown,Unknown,arafed man sitting in a chair reading a book in front of a fireplace,1.0
Age_A_middle_aged_person_shopping_for_groceries__img1.png,Unknown,Unknown,arafed man in a grocery store with a shopping cart,1.0
Age_A_middle_aged_person_shopping_for_groceries__img2.png,Unknown,Unknown,arafed man in a grocery store with a shopping basket,1.0
Age_A_middle_aged_person_shopping_for_groceries__img3.png,Unknown,Unknown,arafed man in a grocery store looking at a tablet,1.0
Age_A_middle_aged_person_shopping_for_groceries__img4.png,Unknown,Unknown,arafed man in a grocery store selecting fruit and vegetables,1.0
Age_A_middle_aged_person_shopping_for_groceries__img5.png,Unknown,Unknown,arafed man in a grocery store with a basket of fruit,1.0
Age_A_middle_aged_person_shopping_for_groceries__img6.png,Unknown,Unknown,arafed man in a grocery store with a shopping cart,1.0
Age_A_middle_aged_person_shopping_for_groceries__img7.png,Unknown,Unknown,woman shopping in a grocery store with a shopping cart,1.0
Age_A_middle_aged_person_volunteering_at_a_local_shelt_img1.png,Unknown,Unknown,smiling man in grey shirt holding a book in a hallway,1.0
Age_A_middle_aged_person_volunteering_at_a_local_shelt_img2.png,Unknown,Unknown,woman in a blue shirt is opening a box with a tag,1.0
Age_A_middle_aged_person_volunteering_at_a_local_shelt_img3.png,Unknown,Unknown,woman in red shirt and gloves holding a blue container,1.0
Age_A_middle_aged_person_volunteering_at_a_local_shelt_img4.png,Unknown,Unknown,woman in red jacket walking down a hallway with tables of food,1.0
Age_A_middle_aged_person_volunteering_at_a_local_shelt_img5.png,Unknown,Unknown,woman in red shirt and purple gloves standing in a room with tables,1.0
Age_A_middle_aged_person_volunteering_at_a_local_shelt_img6.png,Unknown,Unknown,woman in a mask and gloves is looking at a cage with a dog,1.0
Age_A_middle_aged_person_volunteering_at_a_local_shelt_img7.png,Unknown,Unknown,woman sitting at a table with a pile of folded up clothes,1.0
Age_A_middle_aged_person_working_from_home__img1.png,Unknown,Unknown,there is a man sitting at a table with a laptop computer,1.0
Age_A_middle_aged_person_working_from_home__img2.png,Unknown,Unknown,there is a man sitting at a desk using a laptop computer,1.0
Age_A_middle_aged_person_working_from_home__img3.png,Unknown,Unknown,there is a man sitting at a table with a laptop,1.0
Age_A_middle_aged_person_working_from_home__img4.png,Unknown,Unknown,there is a man sitting at a desk with a laptop computer,1.0
Age_A_middle_aged_person_working_from_home__img5.png,Unknown,Unknown,there is a man sitting at a desk with a laptop and papers,1.0
Age_A_middle_aged_person_working_from_home__img6.png,Unknown,Unknown,there is a man sitting at a desk with a laptop computer,1.0
Age_A_middle_aged_person_working_from_home__img7.png,Unknown,Unknown,there is a man sitting at a table with a laptop and a pen,1.0
Age_A_senior_citizen_attending_a_community_event__img1.png,Unknown,Unknown,several elderly people sitting in a row and one is holding a book,1.0
Age_A_senior_citizen_attending_a_community_event__img2.png,Unknown,Unknown,older man in blue shirt and jeans standing in front of a crowd of people,1.0
Age_A_senior_citizen_attending_a_community_event__img3.png,Unknown,Unknown,elderly woman in pink sweater holding a cake in a park,1.0
Age_A_senior_citizen_attending_a_community_event__img4.png,Unknown,Unknown,elderly woman with glasses and a blue shirt standing in front of a crowd,1.0
Age_A_senior_citizen_attending_a_community_event__img5.png,Unknown,Unknown,older man walking down a path with a backpack and a backpack,1.0
Age_A_senior_citizen_attending_a_community_event__img6.png,Unknown,Unknown,elderly woman in a wheelchair sitting in a park with other people,1.0
Age_A_senior_citizen_attending_a_community_event__img7.png,Unknown,Unknown,elderly man in a wheelchair talking to a group of people,1.0
Age_A_senior_citizen_gardening_in_a_backyard__img1.png,Unknown,Unknown,an older woman is kneeling in the garden with her gardening tools,1.0
Age_A_senior_citizen_gardening_in_a_backyard__img2.png,Unknown,Unknown,elderly man in blue shirt and yellow gloves planting a flower,1.0
Age_A_senior_citizen_gardening_in_a_backyard__img3.png,Unknown,Unknown,an older man is digging in the garden with a green watering can,1.0
Age_A_senior_citizen_gardening_in_a_backyard__img4.png,Unknown,Unknown,elderly woman digging in garden with garden hose and mulch,1.0
Age_A_senior_citizen_gardening_in_a_backyard__img5.png,Unknown,Unknown,arafed woman in pink shirt and gardening gloves digging in garden,1.0
Age_A_senior_citizen_gardening_in_a_backyard__img6.png,Unknown,Unknown,a woman is kneeling down and planting a tree in the garden,1.0
Age_A_senior_citizen_gardening_in_a_backyard__img7.png,Unknown,Unknown,elderly woman digging in garden with shovel and dirt,1.0
Age_A_senior_citizen_sitting_at_a_caf__with_a_friend__img1.png,Unknown,Unknown,two older women sitting at a table with a cup of coffee,1.0
Age_A_senior_citizen_sitting_at_a_caf__with_a_friend__img2.png,Unknown,Unknown,two women sitting at a table with a cup of coffee,1.0
Age_A_senior_citizen_sitting_at_a_caf__with_a_friend__img3.png,Unknown,Unknown,two women sitting at a table with coffee cups and a cup of coffee,1.0
Age_A_senior_citizen_sitting_at_a_caf__with_a_friend__img4.png,Unknown,Unknown,older couple sitting at a table with coffee cups and a cell phone,1.0
Age_A_senior_citizen_sitting_at_a_caf__with_a_friend__img5.png,Unknown,Unknown,older couple sitting at table with coffee cup and smiling,1.0
Age_A_senior_citizen_sitting_at_a_caf__with_a_friend__img6.png,Unknown,Unknown,older couple sitting at a table with coffee cups and smiling,1.0
Age_A_senior_citizen_sitting_at_a_caf__with_a_friend__img7.png,Unknown,Unknown,older women sitting at a table with cups of coffee,1.0
Age_A_senior_person_enjoying_a_cup_of_tea_in_a_garden__img1.png,Unknown,Unknown,smiling elderly woman sitting on a bench holding a cup of coffee,1.0
Age_A_senior_person_enjoying_a_cup_of_tea_in_a_garden__img2.png,Unknown,Unknown,smiling elderly woman holding a cup of coffee in her hands,1.0
Age_A_senior_person_enjoying_a_cup_of_tea_in_a_garden__img3.png,Unknown,Unknown,elderly woman sitting in a chair holding a cup of coffee,1.0
Age_A_senior_person_enjoying_a_cup_of_tea_in_a_garden__img4.png,Unknown,Unknown,elderly woman sitting at a table with a cup of coffee,1.0
Age_A_senior_person_enjoying_a_cup_of_tea_in_a_garden__img5.png,Unknown,Unknown,smiling elderly woman holding a cup of coffee in her hands,1.0
Age_A_senior_person_enjoying_a_cup_of_tea_in_a_garden__img6.png,Unknown,Unknown,smiling elderly woman holding a cup of coffee in a garden,1.0
Age_A_senior_person_enjoying_a_cup_of_tea_in_a_garden__img7.png,Unknown,Unknown,smiling elderly woman sitting in a chair with a cup of coffee,1.0
Age_A_senior_person_on_a_walk_with_a_caregiver__img1.png,Unknown,Unknown,two older women walking down a path in a park,1.0
Age_A_senior_person_on_a_walk_with_a_caregiver__img2.png,Unknown,Unknown,older couple walking down a path holding hands,1.0
Age_A_senior_person_on_a_walk_with_a_caregiver__img3.png,Unknown,Unknown,older couple walking down a path holding hands and carrying a red bag,1.0
Age_A_senior_person_on_a_walk_with_a_caregiver__img4.png,Unknown,Unknown,two women walking in a park holding hands,1.0
Age_A_senior_person_on_a_walk_with_a_caregiver__img5.png,Unknown,Unknown,a woman walking with a caregiver on a walk way,1.0
Age_A_senior_person_on_a_walk_with_a_caregiver__img6.png,Unknown,Unknown,two elderly women walking down a path holding hands,1.0
Age_A_senior_person_on_a_walk_with_a_caregiver__img7.png,Unknown,Unknown,two older women walking down a dirt road with canes,1.0
Age_A_senior_person_taking_a_walk_in_the_neighborhood__img1.png,Unknown,Unknown,elderly woman walking with her dog in a park,1.0
Age_A_senior_person_taking_a_walk_in_the_neighborhood__img2.png,Unknown,Unknown,smiling elderly woman walking down a path with a cane,1.0
Age_A_senior_person_taking_a_walk_in_the_neighborhood__img3.png,Unknown,Unknown,elderly man walking down a sidewalk with a cane and walking stick,1.0
Age_A_senior_person_taking_a_walk_in_the_neighborhood__img4.png,Unknown,Unknown,elderly woman walking down a path in a park with a tennis racket,1.0
Age_A_senior_person_taking_a_walk_in_the_neighborhood__img5.png,Unknown,Unknown,elderly man walking down a street with a cane and walking stick,1.0
Age_A_senior_person_taking_a_walk_in_the_neighborhood__img6.png,Unknown,Unknown,elderly woman walking down a path with a cane and walking stick,1.0
Age_A_senior_person_taking_a_walk_in_the_neighborhood__img7.png,Unknown,Unknown,older woman walking down a sidewalk in a park with a pink shirt,1.0
Age_A_teenager_attending_a_concert_with_friends__img1.png,Unknown,Unknown,there are four young girls smiling and posing for a picture,1.0
Age_A_teenager_attending_a_concert_with_friends__img2.png,Unknown,Unknown,four women are standing together and laughing in a group,1.0
Age_A_teenager_attending_a_concert_with_friends__img3.png,Unknown,Unknown,several young people are taking a picture together with their cell phones,1.0
Age_A_teenager_attending_a_concert_with_friends__img4.png,Unknown,Unknown,there are four girls posing for a picture together at a party,1.0
Age_A_teenager_attending_a_concert_with_friends__img5.png,Unknown,Unknown,three girls are standing next to each other and smiling,1.0
Age_A_teenager_attending_a_concert_with_friends__img6.png,Unknown,Unknown,araffes of young people standing together in a park,1.0
Age_A_teenager_attending_a_concert_with_friends__img7.png,Unknown,Unknown,there are three young people standing together at a concert,1.0
Age_A_teenager_at_a_sports_event_cheering_with_friends_img1.png,Unknown,Unknown,arafed young girl singing in a crowd of people wearing blue shirts,1.0
Age_A_teenager_at_a_sports_event_cheering_with_friends_img2.png,Unknown,Unknown,several young people are cheering and smiling in a crowd,1.0
Age_A_teenager_at_a_sports_event_cheering_with_friends_img3.png,Unknown,Unknown,several young girls are smiling and holding oranges in their hands,1.0
